标准小区名称,方位角,覆盖场景,横坐标（KM）,纵坐标（KM）
7537,210,高层居民区,36.6604,26.0141
3165,240,写字楼,36.7002,29.5589
1226,0,工业园区,44.0703,30.8355
6385,100,城区道路,36.0297,10.5691
7385,220,城区道路,36.0297,10.5691
1529,0,城区道路,39.7507,15.366
3529,240,城区道路,39.7507,15.366
7387,270,城区道路,36.5865,10.4045
6175,90,商业中心,28.4464,21.4328
10230,130,城区道路,40.8067,37.1524
10463,120,城区道路,41.3664,19.5136
5193,60,城区道路,19.8801,26.4066
6193,180,城区道路,19.8801,26.4066
2085,110,城区道路,27.8043,25.5593
5085,30,高校,26.8364,25.1645
7085,270,高校,26.8364,25.1645
5500,0,城区道路,36.0297,16.4513
6500,140,城区道路,36.0297,16.4513
7500,290,城区道路,36.0297,16.4513
1424,0,高层居民区,35.1621,22.7216
2424,90,高层居民区,35.1621,22.7216
1500,20,城区道路,35.9065,15.9409
2500,170,城区道路,35.9065,15.9409
3500,280,城区道路,35.9065,15.9409
5424,10,高层居民区,35.504,22.7605
6424,150,高层居民区,35.504,22.7605
7424,290,高层居民区,35.504,22.7605
5354,20,城区道路,36.1556,14.7611
1364,40,低层居民区,25.089,25.9118
1435,30,城区道路,36.6661,24.9132
2435,150,城区道路,36.6661,24.9132
3435,240,城区道路,36.6661,24.9132
10177,140,高层居民区,26.9784,20.8179
5920,170,城区道路,40.4014,15.4917
906,40,城区道路,36.7286,11.5587
1906,140,城区道路,36.7286,11.5587
2906,230,城区道路,36.7286,11.5587
1462,20,高校,42.125,18.7408
7462,160,城区道路,41.0264,18.6007
2106,100,城区道路,29.6018,26.997
3106,230,城区道路,29.6018,26.997
1247,20,高校,29.8121,30.7877
2247,160,高校,29.8121,30.7877
2220,130,火车站,35.8923,22.5147
8963,0,高校,28.4511,28.6783
9963,110,高校,28.4511,28.6783
10963,280,高校,28.4511,28.6783
1159,350,高校,32.6922,17.362
2159,130,高校,32.6922,17.362
3159,250,高校,32.6922,17.362
9531,330,郊区道路,39.2384,15.3838
10531,140,郊区道路,39.2384,15.3838
5383,340,城区道路,35.6044,12.426
5340,300,城区道路,35.2635,24.1649
1105,30,城区道路,31.3132,27.0148
2105,150,城区道路,31.3132,27.0148
3105,270,城区道路,31.3132,27.0148
2534,150,城区道路,30.0479,18.0069
3534,260,城区道路,30.0479,18.0069
3164,240,城区道路,32.6031,18.0258
10145,160,低层居民区,24.4971,29.1564
11145,270,低层居民区,24.4971,29.1564
2368,210,商业中心,29.3954,23.7724
3187,250,城区道路,21.9712,26.9748
992,60,城区道路,36.8489,23.5856
2173,160,高校,29.1349,22.0121
3173,250,高校,29.1349,22.0121
6936,230,企事业单位,36.0559,29.8925
11220,240,城区道路,36.5515,22.726
9354,330,城区道路,35.5741,13.7826
10354,150,城区道路,35.5741,13.7826
1280,0,城区道路,36.3128,26.848
2280,120,城区道路,36.3128,26.848
3280,240,城区道路,36.3128,26.848
5221,0,城区道路,36.0211,23.3465
7434,290,城区道路,31.549,30.5364
5490,0,城区道路,44.684,13.2567
6490,110,城区道路,44.684,13.2567
7490,260,城区道路,44.684,13.2567
10500,130,高速公路,35.4699,16.299
1026,0,高校,26.79,19.3757
2026,110,高校,26.79,19.3757
3026,240,高校,26.79,19.3757
5906,110,城区道路,37.5061,11.5598
1108,350,商业中心,30.6929,26.4555
2108,110,商业中心,30.6929,26.4555
5530,30,城区道路,39.6342,14.8545
1446,30,高层居民区,39.6986,26.3243
3084,250,城区道路,29.0109,25.2602
2420,90,城区道路,28.6936,26.1897
15320,240,城区道路,37.8139,29.2076
7145,170,城区道路,23.1721,28.397
1075,340,高校,33.1392,26.3254
2075,90,高校,33.1392,26.3254
3075,270,高校,33.1392,26.3254
5076,30,工业园区,33.3437,25.8439
6076,180,工业园区,33.3437,25.8439
7076,250,工业园区,33.3437,25.8439
5498,330,党政军机关,35.6593,16.707
6498,135,党政军机关,35.6593,16.707
7498,220,党政军机关,35.6593,16.707
1202,0,低层居民区,28.6377,29.0096
3202,240,低层居民区,28.6377,29.0096
5213,10,高校,26.5551,27.0582
6213,150,高校,26.5551,27.0582
7213,220,高校,26.5551,27.0582
5146,10,城区道路,23.4648,28.1601
7146,250,城区道路,23.4648,28.1601
1018,0,高校,32.8863,27.4551
2018,100,高校,32.8863,27.4551
3018,210,高校,32.8863,27.4551
2336,120,城区道路,21.6909,28.4092
6306,120,城区道路,35.4283,28.4403
5075,70,高校,33.4924,26.302
5117,0,会展中心,39.5064,18.9243
6117,120,会展中心,39.5064,18.9243
3291,260,城区道路,25.644,29.0786
4963,30,城区道路,28.5459,28.1201
6963,250,城区道路,28.5459,28.1201
6536,180,工业园区,38.1663,27.9399
7536,270,工业园区,38.1663,27.9399
5270,330,高校,33.1136,13.9249
6270,140,高校,33.1136,13.9249
7270,250,高校,33.1136,13.9249
5280,20,星级酒店,35.6092,27.3084
7280,270,星级酒店,35.6092,27.3084
1401,30,高校,32.9715,24.0314
2401,100,高校,32.9715,24.0314
3401,220,高校,32.9715,24.0314
1153,0,休闲娱乐场所,32.0226,28.0612
3153,220,休闲娱乐场所,32.0226,28.0612
991,0,工业园区,38.242,21.4539
5292,0,党政军机关,35.7323,31.2736
9272,0,高校,33.5095,14.124
10272,140,高校,33.5095,14.124
11272,220,高校,33.5095,14.124
2278,100,工业园区,32.623,25.1356
2033,100,商业中心,36.4075,29.5812
2353,100,城区道路,35.451,13.3645
3353,210,城区道路,35.451,13.3645
9200,340,高校,30.833,16.9283
10200,110,高校,30.833,16.9283
11200,230,高校,30.833,16.9283
9370,140,休闲娱乐场所,30.0839,24.3572
10370,220,休闲娱乐场所,30.0839,24.3572
11370,330,休闲娱乐场所,30.0839,24.3572
1243,330,工业园区,37.7088,15.9176
2243,100,工业园区,37.7088,15.9176
3243,240,工业园区,37.7088,15.9176
898,120,郊区道路,38.4116,13.8894
1898,230,郊区道路,38.4116,13.8894
2898,300,郊区道路,38.4116,13.8894
1279,50,城区道路,34.5607,27.1605
2279,150,城区道路,34.5607,27.1605
3279,240,城区道路,34.5607,27.1605
16963,20,高校,28.1178,29.1264
17963,120,高校,28.1178,29.1264
18963,220,高校,28.1178,29.1264
4855,50,高校,31.8351,19.9061
5855,120,高校,31.8351,19.9061
6855,250,高校,31.8351,19.9061
9030,340,城区道路,36.5363,16.5947
8906,0,城区道路,36.6282,11.989
9906,120,城区道路,36.6282,11.989
10906,250,城区道路,36.6282,11.989
907,10,城区道路,37.4578,12.0168
1907,130,城区道路,37.4578,12.0168
7153,220,商业中心,31.7716,28.4681
1335,0,城区道路,21.6748,28.7561
1363,300,城区道路,31.0196,22.3146
3363,230,城区道路,31.0196,22.3146
5281,0,星级酒店,35.6802,27.7153
6281,200,星级酒店,35.6802,27.7153
7281,270,星级酒店,35.6802,27.7153
1281,0,高校,35.3724,27.6664
2281,120,高校,35.3724,27.6664
3281,240,高校,35.3724,27.6664
2150,110,商业中心,36.3611,29.212
2362,180,风景区,29.6094,23.4143
3362,270,风景区,29.6094,23.4143
6362,180,城区道路,30.4258,23.2909
5401,350,高校,33.2282,23.8458
6401,120,高校,33.2282,23.8458
7401,240,高校,33.2282,23.8458
9247,20,高校,30.1445,30.8911
10247,120,高校,30.1445,30.8911
11247,270,高校,30.1445,30.8911
5526,330,高层居民区,28.9067,20.2608
6526,110,高层居民区,28.9067,20.2608
7526,230,高层居民区,28.9067,20.2608
9279,330,写字楼,35.0305,27.1638
11279,260,写字楼,35.0305,27.1638
973,30,城区道路,31.227,24.2438
1973,130,城区道路,31.227,24.2438
2973,290,城区道路,31.227,24.2438
975,0,城区道路,31.2753,23.8535
2975,190,城区道路,31.2753,23.8535
8975,340,低层居民区,30.9098,24.1415
9975,100,低层居民区,30.9098,24.1415
9144,10,工业园区,23.5169,28.8729
11358,310,商业中心,30.2231,22.1289
5410,330,高校,30.44,16.0143
6410,70,高校,30.44,16.0143
7410,240,高校,30.44,16.0143
3318,240,城区道路,33.7453,30.2361
938,30,高层居民区,37.2912,12.7741
1938,130,高层居民区,37.2912,12.7741
5656,0,其他,30.8927,23.5422
6656,150,其他,30.8927,23.5422
2436,180,城区道路,36.5932,24.3217
3436,270,城区道路,36.5932,24.3217
1517,80,城区道路,21.9087,25.7839
3517,280,城区道路,21.9087,25.7839
6139,170,星级酒店,36.1348,28.8195
7139,240,星级酒店,36.1348,28.8195
1139,30,写字楼,35.8507,28.8629
2139,160,写字楼,35.8507,28.8629
1404,60,企事业单位,28.5752,18.5618
2404,160,企事业单位,28.5752,18.5618
3404,230,企事业单位,28.5752,18.5618
1524,50,城区道路,36.9777,13.7904
3524,300,城区道路,36.9777,13.7904
5140,20,企事业单位,36.5629,29.1308
9138,350,低层居民区,36.0031,27.5819
11138,280,低层居民区,36.0031,27.5819
12964,20,党政军机关,28.1386,28.2068
13964,160,党政军机关,28.1386,28.2068
14964,240,党政军机关,28.1386,28.2068
964,50,企事业单位,28.8432,28.5815
1964,150,企事业单位,28.8432,28.5815
2964,220,企事业单位,28.8432,28.5815
5483,350,高校,27.9151,18.4417
6483,130,高校,27.9151,18.4417
9386,330,城区道路,35.5637,10.8604
2012,90,城区道路,40.3209,29.4322
3012,240,城区道路,40.3209,29.4322
10280,60,高校,35.4529,27.0915
1201,10,低层居民区,30.7203,18.6329
2201,120,低层居民区,30.7203,18.6329
9201,340,高校,31.3539,18.246
11201,230,高校,31.3539,18.246
3656,190,城区道路,32.5008,24.3717
5138,0,商业中心,35.7957,28.0189
6138,120,商业中心,35.7957,28.0189
7138,220,商业中心,35.7957,28.0189
6966,240,城区道路,38.94,30.5719
1944,120,风景区,29.7392,20.4387
9656,40,企事业单位,32.7016,24.2939
11656,210,企事业单位,32.7016,24.2939
4967,20,中小学,29.8026,28.8006
5967,160,中小学,29.8026,28.8006
6967,280,中小学,29.8026,28.8006
1525,60,其他,28.0628,20.4198
1351,30,商业中心,31.2479,29.4155
2351,120,商业中心,31.2479,29.4155
3351,220,商业中心,31.2479,29.4155
1111,10,工业园区,28.7239,24.8687
2111,90,工业园区,28.7239,24.8687
848,20,高校,29.224,21.7064
1848,150,高校,29.224,21.7064
2848,250,高校,29.224,21.7064
5073,30,高校,29.3158,19.8505
6073,130,高校,29.3158,19.8505
7073,240,高校,29.3158,19.8505
5347,0,城区道路,30.9107,28.5671
6347,150,城区道路,30.9107,28.5671
7347,240,城区道路,30.9107,28.5671
5268,330,城区道路,34.5513,24.5385
7268,220,城区道路,34.5513,24.5385
5288,20,低层居民区,30.7336,27.1571
6288,130,低层居民区,30.7336,27.1571
5019,330,高校,33.0975,27.7187
6019,120,高校,33.0975,27.7187
7019,240,高校,33.0975,27.7187
12958,75,高校,31.0935,17.9969
13958,170,高校,31.0935,17.9969
14958,280,高校,31.0935,17.9969
6275,120,工业园区,31.7725,15.9665
1321,50,城区道路,37.527,14.7533
2321,150,城区道路,37.527,14.7533
17320,0,企事业单位,38.0375,29.6501
11320,200,商业中心,37.7874,29.6568
9049,320,高校,28.0458,19.5781
10049,60,高校,28.0458,19.5781
11049,240,高校,28.0458,19.5781
1030,10,城区道路,36.5562,15.8041
2030,150,城区道路,36.5562,15.8041
3030,270,城区道路,36.5562,15.8041
10076,120,星级酒店,33.8656,25.9051
11076,200,星级酒店,33.8656,25.9051
9073,340,高校,28.544,19.1355
10073,100,高校,28.544,19.1355
11073,240,高校,28.544,19.1355
5358,340,高层居民区,29.6871,22.9484
6358,140,高层居民区,29.6871,22.9484
7358,240,高层居民区,29.6871,22.9484
9430,20,企事业单位,35.7749,29.0975
10430,90,企事业单位,35.7749,29.0975
900,0,风景区,38.0952,11.3652
1900,160,风景区,38.0952,11.3652
2900,270,风景区,38.0952,11.3652
1399,0,星级酒店,35.952,26.3065
2399,150,星级酒店,35.952,26.3065
3399,220,星级酒店,35.952,26.3065
5398,0,其他,34.7426,25.5782
7398,250,其他,34.7426,25.5782
1400,330,低层居民区,33.9603,26.1786
2400,130,低层居民区,33.9603,26.1786
5400,10,高校,34.2681,26.2542
6400,160,高校,34.2681,26.2542
7400,260,高校,34.2681,26.2542
1049,90,高校,28.3025,19.6426
2049,180,高校,28.3025,19.6426
3049,250,高校,28.3025,19.6426
1287,60,商业中心,32.2366,27.5274
2287,230,商业中心,32.2366,27.5274
3287,310,商业中心,32.2366,27.5274
1478,70,高层居民区,27.8232,26.7435
6885,260,低层居民区,37.4446,28.1601
1885,120,集贸市场,37.778,28.368
2458,170,城区道路,22.1758,27.7376
3458,300,城区道路,22.1758,27.7376
1284,30,休闲娱乐场所,26.1157,27.9589
2284,120,休闲娱乐场所,26.1157,27.9589
5026,10,高校,27.1896,19.736
7026,280,高校,27.1896,19.736
1024,0,高校,26.7947,18.8331
9340,330,商业中心,35.9283,24.2494
11340,240,商业中心,35.9283,24.2494
10417,180,低层居民区,39.7384,26.8402
11417,240,低层居民区,39.7384,26.8402
5458,10,城区道路,21.7563,25.2568
6458,100,城区道路,21.7563,25.2568
2974,280,低层居民区,31.2261,24.8476
1493,30,其他,40.1362,32.7069
1414,330,城区道路,30.6635,24.4262
2414,120,城区道路,30.6635,24.4262
3414,240,城区道路,30.6635,24.4262
1112,30,城区道路,28.0969,24.2638
2112,160,城区道路,28.0969,24.2638
3112,240,城区道路,28.0969,24.2638
2269,150,集贸市场,34.2984,24.1938
3269,240,集贸市场,34.2984,24.1938
1971,35,高校,27.5817,16.8371
2971,165,高校,27.5817,16.8371
11523,250,城区道路,36.0315,13.2422
5524,0,中小学,36.8167,13.2833
6524,120,中小学,36.8167,13.2833
7524,230,中小学,36.8167,13.2833
9973,150,低层居民区,30.512,25.1734
5430,0,星级酒店,35.4377,29.2899
6430,130,星级酒店,35.4377,29.2899
7430,300,星级酒店,35.4377,29.2899
9517,0,高速公路,24.3456,25.5626
9518,0,低层居民区,24.606,25.9918
10518,120,低层居民区,24.606,25.9918
11518,250,低层居民区,24.606,25.9918
1022,340,高校,33.5919,26.7991
2022,150,高校,33.5919,26.7991
3022,240,高校,33.5919,26.7991
6444,90,城中村,38.1757,26.3321
6445,180,其他,38.4125,26.5823
9326,340,高校,37.3196,25.7828
10326,120,高校,37.3196,25.7828
11326,190,高校,37.3196,25.7828
5421,310,企事业单位,28.1111,26.3132
6421,50,企事业单位,28.1111,26.3132
7421,200,企事业单位,28.1111,26.3132
8856,20,高校,31.711,20.3731
9856,110,高校,31.711,20.3731
10856,280,高校,31.711,20.3731
8857,70,党政军机关,34.7502,20.8657
9857,230,党政军机关,34.7502,20.8657
10857,300,党政军机关,34.7502,20.8657
1985,130,高层居民区,31.2213,22.8672
2985,270,高层居民区,31.2213,22.8672
9041,330,城区道路,37.6577,26.7068
11041,240,城区道路,37.6577,26.7068
1041,0,高校,37.3821,27.0159
2041,140,高校,37.3821,27.0159
3041,240,高校,37.3821,27.0159
2327,90,城区道路,36.4682,23.2164
7327,150,高速公路,37.169,22.3068
10083,90,城区道路,28.6103,25.5559
11083,240,城区道路,28.6103,25.5559
5496,30,城区道路,39.8596,32.857
6496,120,城区道路,39.8596,32.857
11084,240,星级酒店,28.2068,25.4759
6516,120,城区道路,24.1902,25.8695
1160,10,高校,32.1987,17.3709
2160,120,高校,32.1987,17.3709
1135,330,风景区,48.3758,20.6945
2135,100,风景区,48.3758,20.6945
3135,240,风景区,48.3758,20.6945
1048,0,高校,28.2968,19.0455
2048,120,高校,28.2968,19.0455
3048,290,高校,28.2968,19.0455
1358,0,风景区,30.0735,22.8517
5898,110,城区道路,38.1937,11.9913
6898,300,城区道路,38.1937,11.9913
6395,170,低层居民区,35.934,26.5411
5435,20,高校,37.0042,25.0956
6435,140,高校,37.0042,25.0956
7435,220,高校,37.0042,25.0956
3115,220,城区道路,31.4392,25.3469
1361,10,低层居民区,29.1094,23.3131
3361,240,低层居民区,29.1094,23.3131
8887,0,企事业单位,36.8555,28.2279
9887,150,企事业单位,36.8555,28.2279
10887,240,企事业单位,36.8555,28.2279
10018,100,高校,33.285,27.881
5487,340,城区道路,27.4624,20.5666
829,340,城区道路,36.2285,31.2335
1829,110,城区道路,36.2285,31.2335
6351,150,企事业单位,31.2715,28.8206
7204,290,商业中心,33.679,19.8839
7494,120,星级酒店,40.0718,33.0416
6457,150,工业园区,21.8358,26.6123
7457,240,工业园区,21.8358,26.6123
918,0,城区道路,38.7913,15.8253
1595,20,高校,36.5032,27.682
2595,110,高校,36.5032,27.682
3595,260,高校,36.5032,27.682
6110,140,星级酒店,28.5714,24.5941
7110,240,星级酒店,28.5714,24.5941
2398,80,高层居民区,35.1025,26.3932
10398,140,城区道路,35.4415,26.0252
11398,330,城区道路,35.4415,26.0252
7654,270,工业园区,21.8453,26.1497
1051,30,城区道路,32.0481,24.1415
2051,100,城区道路,32.0481,24.1415
6051,110,城区道路,32.033,24.3884
2422,120,高层居民区,34.1885,23.9425
3199,240,高校,30.9618,19.1278
9306,0,高校,35.1877,28.5148
5420,10,城区道路,29.0999,26.5411
7420,220,城区道路,29.0999,26.5411
9542,30,高校,27.9738,17.352
10542,140,高校,27.9738,17.352
17648,10,高校,30.3709,21.0881
18648,100,高校,30.3709,21.0881
19648,210,高校,30.3709,21.0881
7118,210,高层居民区,29.1027,20.213
10285,210,商业中心,35.684,28.3491
835,130,高校,29.6255,16.1889
1835,200,高校,29.6255,16.1889
1406,20,城区道路,29.1558,27.1805
2406,160,城区道路,29.1558,27.1805
9069,40,城区道路,26.1384,24.5696
10287,120,高校,30.7971,27.4863
11287,220,高校,30.7971,27.4863
5067,350,高校,26.5977,24.8065
6067,140,高校,26.5977,24.8065
7067,300,高校,26.5977,24.8065
1346,320,高校,31.1674,27.9222
2346,30,高校,31.1674,27.9222
3346,200,高校,31.1674,27.9222
5049,0,高校,27.6679,18.9131
6049,150,高校,27.6679,18.9131
9199,310,城区道路,30.5944,19.7137
10199,110,城区道路,30.5944,19.7137
11199,220,城区道路,30.5944,19.7137
14992,280,商业中心,36.8574,23.1741
1407,0,城区道路,28.9029,28.0945
1426,0,城区道路,36.8849,27.8465
2426,120,城区道路,36.8849,27.8465
3426,290,城区道路,36.8849,27.8465
1118,30,高校,28.8593,19.4291
3118,250,高校,28.8593,19.4291
1063,330,城中村,32.8465,25.7127
2063,110,城中村,32.8465,25.7127
3063,240,城中村,32.8465,25.7127
4975,20,城区道路,31.0016,25.1011
5975,90,城区道路,31.0016,25.1011
6975,160,城区道路,31.0016,25.1011
2186,140,城区道路,38.6398,30.622
940,270,企事业单位,35.5078,26.51
1940,100,企事业单位,35.5078,26.51
2940,200,企事业单位,35.5078,26.51
2316,120,高校,33.3523,29.808
1535,0,低层居民区,37.7619,27.5163
4836,30,城区道路,36.8138,24.0426
5836,170,城区道路,36.8138,24.0426
6836,250,城区道路,36.8138,24.0426
1285,320,企事业单位,35.4832,28.1601
2285,120,企事业单位,35.4832,28.1601
3285,230,企事业单位,35.4832,28.1601
6285,100,其他,35.093,28.1557
7285,210,其他,35.093,28.1557
9351,300,高校,31.9525,29.4711
10351,90,高校,31.9525,29.4711
11351,180,高校,31.9525,29.4711
5388,0,风景区,37.2609,29.132
6388,90,风景区,37.2609,29.132
1371,30,商业中心,29.9579,24.8176
2371,120,商业中心,29.9579,24.8176
3371,330,商业中心,29.9579,24.8176
2522,130,城区道路,38.0573,14.1251
3522,230,城区道路,38.0573,14.1251
9522,20,城区道路,36.5733,13.6814
10522,120,城区道路,36.5733,13.6814
13049,0,高校,27.6442,19.4124
14049,70,高校,27.6442,19.4124
15049,220,高校,27.6442,19.4124
5426,30,城区道路,36.5269,28.0612
6426,120,城区道路,36.5269,28.0612
7426,240,城区道路,36.5269,28.0612
8831,10,城中村,34.1885,29.0875
9831,125,城中村,34.1885,29.0875
10831,240,城中村,34.1885,29.0875
5360,340,高层居民区,29.8869,22.4658
6360,120,高层居民区,29.8869,22.4658
11343,240,城区道路,28.9919,29.252
5155,90,城中村,35.8393,16.2
6155,240,城中村,35.8393,16.2
7155,310,城中村,35.8393,16.2
5107,60,城区道路,29.9665,25.3135
6107,150,城区道路,29.9665,25.3135
7107,240,城区道路,29.9665,25.3135
8967,330,企事业单位,30.6237,28.0845
9967,90,企事业单位,30.6237,28.0845
11395,260,高校,34.8344,26.1052
1832,60,高校,35.2275,27.9711
2832,230,高校,35.2275,27.9711
9593,30,星级酒店,34.6469,28.0111
10593,120,星级酒店,34.6469,28.0111
11593,260,星级酒店,34.6469,28.0111
5344,340,其他,29.0705,28.8306
7344,210,其他,29.0705,28.8306
9204,320,城区道路,34.8922,19.8627
6084,120,城区道路,28.6955,25.1567
2325,120,城区道路,37.6103,25.1945
3325,240,城区道路,37.6103,25.1945
9348,330,高校,31.997,29.2565
10348,170,高校,31.997,29.2565
11348,240,高校,31.997,29.2565
5326,0,城区道路,37.6151,25.5982
6326,70,城区道路,37.6151,25.5982
5436,40,高校,37.0127,25.5926
13648,310,城区道路,30.5726,20.3175
14648,160,城区道路,30.5726,20.3175
5603,0,写字楼,32.7168,26.689
6603,90,写字楼,32.7168,26.689
7603,180,写字楼,32.7168,26.689
6522,60,城区道路,37.5147,14.124
7522,230,城区道路,37.5147,14.124
1347,330,企事业单位,31.4818,27.9711
2347,90,企事业单位,31.4818,27.9711
12975,30,商业中心,30.9874,24.6619
13975,220,商业中心,30.9874,24.6619
14975,300,商业中心,30.9874,24.6619
1341,320,高校,35.4548,25.6582
2341,110,高校,35.4548,25.6582
3341,240,高校,35.4548,25.6582
5605,0,高校,31.9156,26.4544
6605,90,高校,31.9156,26.4544
7605,180,高校,31.9156,26.4544
5276,0,高校,33.2273,16.5291
7276,310,高校,33.2273,16.5291
2344,130,高校,28.4578,29.5489
3344,250,高校,28.4578,29.5489
10316,120,城区道路,32.6278,30.5019
11316,270,城区道路,32.6278,30.5019
1603,10,高校,32.2205,26.8602
2603,180,高校,32.2205,26.8602
3603,270,高校,32.2205,26.8602
10603,100,高校,31.7489,26.9614
5369,0,商业中心,29.7278,24.0715
6369,90,商业中心,29.7278,24.0715
943,0,商业中心,28.3403,20.7145
2943,240,商业中心,28.3403,20.7145
7147,250,低层居民区,35.1508,29.4833
9159,330,高校,33.6961,16.8494
10159,130,高校,33.6961,16.8494
11159,240,高校,33.6961,16.8494
9139,30,低层居民区,36.1897,28.3669
10139,140,低层居民区,36.1897,28.3669
11139,290,低层居民区,36.1897,28.3669
13323,0,高校,37.5904,24.0793
14323,170,高校,37.5904,24.0793
5399,300,高校,34.4585,26.5778
6399,60,高校,34.4585,26.5778
7399,170,高校,34.4585,26.5778
9070,0,高校,26.5314,25.9262
10070,120,高校,26.5314,25.9262
11070,240,高校,26.5314,25.9262
