时间,小区名称,小区上行平均激活用户数,小区下行平均激活用户数,下行平均使用的PRB个数,上行平均使用的PRB个数
2024/8/18 11:00,779,0.4324,0.7620,22.3037,10.2545
2024/8/18 12:00,779,1.2378,3.6189,33.0834,12.5610
2024/8/18 13:00,779,2.4134,2.2670,34.2965,15.3079
2024/8/18 14:00,779,1.2225,2.9707,41.5799,13.8816
2024/8/18 15:00,779,0.9738,3.0551,30.1884,10.9440
2024/8/18 16:00,779,0.6406,1.2801,23.8486,10.4977
2024/8/18 17:00,779,0.5670,1.1741,20.7851,11.2970
2024/8/18 18:00,779,0.4484,0.9434,14.3215,10.0798
2024/8/18 19:00,779,0.5534,0.9000,12.3495,9.5759
2024/8/18 20:00,779,0.4754,1.2162,13.0422,9.8478
2024/8/18 21:00,779,0.7282,2.0677,28.1545,11.1818
2024/8/18 22:00,779,1.6896,3.3451,35.1351,13.0313
2024/8/18 23:00,779,1.3400,2.9046,36.9196,13.9370
2024/8/3 0:00,829,1.2425,3.0679,38.7045,14.1957
2024/8/3 1:00,829,2.1201,4.5583,36.5467,15.7473
2024/8/3 2:00,829,1.2328,2.9708,29.4499,13.0420
2024/8/3 3:00,829,2.5254,2.4941,26.1306,14.4357
2024/8/3 4:00,829,2.0544,3.0849,33.5484,13.2207
2024/8/3 5:00,829,1.6472,3.1234,26.3913,13.7194
2024/8/3 6:00,829,1.6297,2.8773,32.9445,13.8022
2024/8/3 7:00,829,1.5676,2.6386,26.6367,11.2689
2024/8/3 8:00,829,1.7479,3.9548,28.3602,18.1049
2024/8/3 9:00,829,3.2949,5.8944,38.5830,14.3084
2024/8/3 10:00,829,3.6172,3.9757,35.0586,19.0459
2024/8/3 11:00,829,1.1047,1.9780,23.6801,13.4511
2024/8/3 12:00,829,3.1622,5.2425,47.0904,18.8407
2024/8/3 13:00,829,2.3816,3.7706,46.3288,19.5257
2024/8/3 14:00,829,1.9877,3.9873,48.8982,17.5340
2024/8/3 15:00,829,2.1476,4.5944,36.5345,13.0428
2024/8/3 16:00,829,1.2189,3.1787,24.3956,13.1859
2024/8/3 17:00,829,1.3645,3.0143,24.9949,13.9658
2024/8/3 18:00,829,1.1994,3.1394,20.6648,11.4037
2024/8/3 19:00,829,0.9319,2.1926,18.1311,11.0288
2024/8/3 20:00,829,0.8549,2.1210,15.8020,11.6525
2024/8/3 21:00,829,1.4903,3.4486,29.9724,14.3853
2024/8/3 22:00,829,1.8047,4.7686,31.8409,17.0169
2024/8/3 23:00,829,2.3094,4.8860,19.1552,15.1115
2024/8/18 0:00,829,1.2769,2.9498,29.8902,10.6365
2024/8/18 1:00,829,2.3094,5.4636,39.8926,17.1965
2024/8/18 2:00,829,1.5761,4.3937,31.5737,15.8610
2024/8/18 3:00,829,1.9801,2.6249,30.6594,17.2958
2024/8/18 4:00,829,1.5594,4.7356,34.5443,13.8737
2024/8/18 5:00,829,1.7897,4.6705,27.0556,13.8561
2024/8/18 6:00,829,1.2118,3.5097,28.2544,13.0879
2024/8/18 7:00,829,2.2738,3.9542,40.3488,16.6850
2024/8/18 8:00,829,2.0951,5.2349,23.8676,19.2884
2024/8/18 9:00,829,2.7259,5.1342,38.3693,16.3148
2024/8/18 10:00,829,2.2709,5.2890,30.3693,15.5438
2024/8/18 11:00,829,0.5703,1.9308,21.4109,11.5019
2024/8/18 12:00,829,1.9278,5.4947,45.2437,15.5590
2024/8/18 13:00,829,3.1151,4.0990,40.3260,19.8925
2024/8/18 14:00,829,1.9521,5.4986,40.8523,17.8777
2024/8/18 15:00,829,1.6821,3.6997,37.4028,14.2562
2024/8/18 16:00,829,1.0587,2.3648,26.0236,13.3235
2024/8/18 17:00,829,1.0954,2.7109,21.9374,13.2022
2024/8/18 18:00,829,1.0171,2.3857,18.0183,11.9299
2024/8/18 19:00,829,0.9426,1.9639,16.3474,11.4825
2024/8/18 20:00,829,0.8683,2.1821,15.5831,11.9574
2024/8/18 21:00,829,1.2335,3.2738,30.5149,13.3159
2024/8/18 22:00,829,2.0364,4.2357,34.6124,15.7738
2024/8/18 23:00,829,1.8530,3.7324,31.5878,14.8034
2024/8/3 0:00,835,3.0016,5.7417,77.1212,19.9839
2024/8/3 1:00,835,3.0479,8.0112,71.2342,22.6086
2024/8/3 2:00,835,1.9569,4.9986,61.5258,12.3550
2024/8/3 3:00,835,1.8171,0.0000,30.6433,17.5853
2024/8/3 4:00,835,0.5693,4.4362,45.7822,13.0829
2024/8/3 5:00,835,1.5630,5.3698,45.7996,12.3994
2024/8/3 6:00,835,0.4396,1.7936,55.5779,12.6259
2024/8/3 7:00,835,2.1976,2.1795,50.4216,12.5407
2024/8/3 8:00,835,3.1906,3.9156,24.1029,24.9836
2024/8/3 9:00,835,3.4639,6.7615,55.4321,18.1055
2024/8/3 10:00,835,4.4337,5.2367,61.0678,19.7534
2024/8/3 11:00,835,2.3353,4.3578,54.9798,20.1075
2024/8/3 12:00,835,3.5507,6.7647,86.5391,20.4813
2024/8/3 13:00,835,4.4725,6.6728,88.9328,26.4875
2024/8/3 14:00,835,3.5112,10.3689,104.7434,20.9846
2024/8/3 15:00,835,3.8814,8.9708,74.0402,21.9944
2024/8/3 16:00,835,2.9140,6.7640,60.6001,15.5494
2024/8/3 17:00,835,2.4334,6.1046,49.8683,20.5794
2024/8/3 18:00,835,2.3034,5.5774,40.7263,18.2273
2024/8/3 19:00,835,1.8688,5.0086,39.7711,15.4918
2024/8/3 20:00,835,2.0939,4.6062,36.5906,16.9667
2024/8/3 21:00,835,2.4696,7.3886,68.4521,20.6222
2024/8/3 22:00,835,4.2623,8.8539,58.0892,22.4079
2024/8/3 23:00,835,3.4887,6.1115,41.2855,19.0767
2024/8/18 0:00,835,2.2061,4.4550,66.2165,15.5972
2024/8/18 1:00,835,4.4609,9.5328,65.8187,25.8951
2024/8/18 2:00,835,2.3138,7.1558,57.1733,18.4772
2024/8/18 3:00,835,3.3591,3.1574,50.7708,22.9536
2024/8/18 4:00,835,2.0037,6.6967,54.3388,18.4297
2024/8/18 5:00,835,2.6222,7.8035,42.1465,18.3273
2024/8/18 6:00,835,1.9383,3.9121,48.8694,17.4808
2024/8/18 7:00,835,3.8653,4.3033,60.6127,20.7777
2024/8/18 8:00,835,3.9341,6.2945,33.4672,29.1201
2024/8/18 9:00,835,4.1554,8.0628,65.7828,23.9680
2024/8/18 10:00,835,4.3561,7.6165,72.1637,23.0290
2024/8/18 11:00,835,1.3731,3.2625,41.5357,17.2545
2024/8/18 12:00,835,3.5426,8.5686,95.2444,22.5759
2024/8/18 13:00,835,4.5339,6.1745,82.1163,29.3936
2024/8/18 14:00,835,2.6511,10.0932,89.8717,24.0699
2024/8/18 15:00,835,3.1117,6.6831,66.6292,19.3713
2024/8/18 16:00,835,2.1377,5.1281,45.6008,16.1671
2024/8/18 17:00,835,2.0851,5.1794,44.4454,18.5666
2024/8/18 18:00,835,2.1483,5.3486,38.7033,17.0962
2024/8/18 19:00,835,1.7118,4.3600,35.1747,15.4650
2024/8/18 20:00,835,2.0585,4.3052,33.7930,16.5543
2024/8/18 21:00,835,2.5859,7.1065,63.8378,20.2148
2024/8/18 22:00,835,4.2497,8.4386,62.4966,24.7669
2024/8/18 23:00,835,3.7345,7.0341,49.1425,21.5257
2024/8/3 0:00,836,0.8186,1.2725,17.1096,10.0878
2024/8/3 1:00,836,1.4502,3.0739,27.1292,13.5980
2024/8/3 2:00,836,1.7310,3.5881,34.0509,15.8695
2024/8/3 3:00,836,1.7925,4.9849,30.8663,15.2581
2024/8/3 4:00,836,1.2976,2.4266,28.1729,12.4540
2024/8/3 5:00,836,1.6587,3.1285,29.3294,13.6097
2024/8/3 6:00,836,1.6000,3.9165,28.2117,14.1444
2024/8/3 7:00,836,1.0140,3.8956,32.0246,16.2639
2024/8/3 8:00,836,1.3154,4.4938,34.4866,13.9071
2024/8/3 9:00,836,1.7731,4.1556,24.9126,14.3236
2024/8/3 10:00,836,1.4626,4.2607,25.9522,19.9211
2024/8/3 11:00,836,0.5083,1.5363,14.7697,11.1719
2024/8/3 12:00,836,1.1702,3.5006,24.8584,16.2005
2024/8/3 13:00,836,1.6723,2.6915,30.4785,13.9185
2024/8/3 14:00,836,1.1215,1.9966,21.6112,15.0627
2024/8/3 15:00,836,0.7685,2.0618,19.6279,13.4092
2024/8/3 16:00,836,0.5156,1.8008,18.0108,10.0149
2024/8/3 17:00,836,0.4036,1.1694,12.8479,10.4780
2024/8/3 18:00,836,0.4580,1.0888,10.3307,10.3059
2024/8/3 19:00,836,0.3604,0.7100,8.8130,8.8911
2024/8/3 20:00,836,0.1313,0.8589,7.3404,9.4035
2024/8/3 21:00,836,0.5540,1.3003,11.8255,9.8950
2024/8/3 22:00,836,0.8076,1.9746,15.1141,11.9514
2024/8/3 23:00,836,1.2495,3.2272,19.9248,13.1200
2024/8/18 0:00,836,1.0018,1.9634,19.8451,9.7939
2024/8/18 1:00,836,0.7464,2.6152,28.1943,10.9466
2024/8/18 2:00,836,1.4259,2.0869,27.6342,12.1925
2024/8/18 3:00,836,0.9157,1.9966,20.0293,13.1957
2024/8/18 4:00,836,0.6676,2.3179,25.2271,10.0733
2024/8/18 5:00,836,0.9380,2.3339,20.9145,11.0292
2024/8/18 6:00,836,0.2509,2.4306,25.3313,9.7697
2024/8/18 7:00,836,0.6478,2.7661,27.8200,11.9231
2024/8/18 8:00,836,0.7799,2.7719,20.7684,12.0392
2024/8/18 9:00,836,1.4267,2.1896,24.0714,10.7168
2024/8/18 10:00,836,1.0766,2.3239,15.9204,12.4467
2024/8/18 11:00,836,0.6380,1.5741,17.1365,10.2524
2024/8/18 12:00,836,0.7473,2.7538,19.4328,11.0658
2024/8/18 13:00,836,1.5314,2.8019,18.8073,13.1041
2024/8/18 14:00,836,1.4522,2.3746,25.9395,11.8466
2024/8/18 15:00,836,1.0568,2.6387,24.8104,12.3267
2024/8/18 16:00,836,0.6349,1.4950,21.2744,10.4596
2024/8/18 17:00,836,0.5492,1.3994,13.9164,10.7031
2024/8/18 18:00,836,0.4296,0.6312,8.7887,9.9613
2024/8/18 19:00,836,0.4296,0.7519,8.1059,9.0936
2024/8/18 20:00,836,0.1917,0.8567,7.5994,9.1731
2024/8/18 21:00,836,0.4090,1.0950,12.9295,9.7100
2024/8/18 22:00,836,0.8051,1.6404,16.6195,10.1105
2024/8/18 23:00,836,0.8054,1.8638,19.7812,10.7606
2024/8/3 0:00,848,0.6980,1.0769,18.0113,9.6174
2024/8/3 1:00,848,0.4676,1.3820,17.1448,8.9968
2024/8/3 2:00,848,0.7163,1.1973,15.0929,9.6385
2024/8/3 3:00,848,0.8333,0.8580,14.6974,9.3101
2024/8/3 4:00,848,0.2958,1.3230,20.1047,9.0283
2024/8/3 5:00,848,0.6994,0.8347,13.4997,9.1301
2024/8/3 6:00,848,0.0772,0.9703,18.2793,8.2805
2024/8/3 7:00,848,0.1578,0.2823,16.2259,9.5581
2024/8/3 8:00,848,0.5771,2.0407,14.9420,11.0807
2024/8/3 9:00,848,1.0368,1.9287,18.3030,8.4856
2024/8/3 10:00,848,1.0106,1.7986,12.6924,11.0924
2024/8/3 11:00,848,0.3873,1.1014,14.5033,9.4846
2024/8/3 12:00,848,0.8434,1.1916,18.2167,9.6633
2024/8/3 13:00,848,1.2143,1.0755,15.8942,11.7690
2024/8/3 14:00,848,0.7856,1.4110,21.0192,10.8745
2024/8/3 15:00,848,0.5560,2.2446,17.8711,10.5483
2024/8/3 16:00,848,0.5667,1.6568,17.6603,9.1964
2024/8/3 17:00,848,0.5565,1.2061,16.6775,10.0885
2024/8/3 18:00,848,0.4153,0.9080,10.2392,8.9908
2024/8/3 19:00,848,0.3226,0.6440,9.7789,8.5387
2024/8/3 20:00,848,0.0999,0.5848,6.2726,8.0018
2024/8/3 21:00,848,0.1803,0.8534,10.2290,8.0304
2024/8/3 22:00,848,0.3014,1.2360,9.7918,8.7245
2024/8/3 23:00,848,0.4586,0.8384,7.5639,7.6687
2024/8/18 0:00,848,0.8317,1.7827,12.0220,8.4753
2024/8/18 1:00,848,1.0827,2.3558,20.8595,10.4208
2024/8/18 2:00,848,1.0689,1.5905,22.5974,11.9997
2024/8/18 3:00,848,0.6214,2.4832,15.1120,9.3570
2024/8/18 4:00,848,0.2002,1.7463,20.3586,8.6899
2024/8/18 5:00,848,1.1744,1.4896,14.3554,10.4426
2024/8/18 6:00,848,0.2255,1.8908,18.6901,9.1998
2024/8/18 7:00,848,0.1655,2.0646,19.4013,10.6218
2024/8/18 8:00,848,0.4154,2.4578,16.1410,10.9025
2024/8/18 9:00,848,0.9726,1.1586,17.0865,7.4254
2024/8/18 10:00,848,0.3165,1.5263,9.7544,10.8188
2024/8/18 11:00,848,0.5349,1.1309,11.7222,9.3955
2024/8/18 12:00,848,0.6813,1.6685,11.5187,8.4165
2024/8/18 13:00,848,1.2530,1.9160,12.4212,11.0752
2024/8/18 14:00,848,1.2597,1.5147,16.4923,11.2578
2024/8/18 15:00,848,0.7427,2.4507,20.6388,11.1236
2024/8/18 16:00,848,0.3598,1.0944,13.4268,8.3186
2024/8/18 17:00,848,0.2633,0.6747,10.3998,8.4996
2024/8/18 18:00,848,0.2367,0.3367,6.6112,8.2516
2024/8/18 19:00,848,0.2814,0.4999,7.1473,8.4227
2024/8/18 20:00,848,0.1449,0.7217,6.4231,7.9981
2024/8/18 21:00,848,0.3605,1.0303,9.6006,8.4206
2024/8/18 22:00,848,0.6588,1.7792,14.8265,9.3173
2024/8/18 23:00,848,0.9077,1.9755,18.7182,10.2076
2024/8/3 0:00,854,1.9902,4.0313,44.6527,11.2192
2024/8/3 1:00,854,2.6753,5.4636,34.7754,15.3200
2024/8/3 2:00,854,1.2562,5.3299,31.4506,11.4155
2024/8/3 3:00,854,2.3035,2.9090,25.4636,14.4731
2024/8/3 4:00,854,1.7462,4.5402,34.2473,11.3975
2024/8/3 5:00,854,2.0167,4.0626,24.3968,11.9235
2024/8/3 6:00,854,1.3210,3.0242,22.6993,10.3285
2024/8/3 7:00,854,1.9745,3.3363,29.4356,13.1005
2024/8/3 8:00,854,1.8254,3.7036,22.8929,18.0478
2024/8/3 9:00,854,3.1226,5.9622,42.6463,15.5170
2024/8/3 10:00,854,2.9971,5.3407,34.1355,17.0518
2024/8/3 11:00,854,0.7379,3.2685,27.5395,12.9143
2024/8/3 12:00,854,1.9624,5.6101,56.8255,17.6910
2024/8/3 13:00,854,3.4543,3.9063,45.8460,22.0818
2024/8/3 14:00,854,2.4595,6.7577,53.7558,19.2116
2024/8/3 15:00,854,2.1338,5.5262,45.8611,15.5698
2024/8/3 16:00,854,1.4513,3.7640,35.5853,14.1687
2024/8/3 17:00,854,1.4368,3.7947,29.5960,14.1273
2024/8/3 18:00,854,1.5360,3.7192,26.1873,13.2590
2024/8/3 19:00,854,1.2623,2.8289,22.3254,12.3262
2024/8/3 20:00,854,1.1295,3.0759,21.7560,12.7236
2024/8/3 21:00,854,1.8388,4.2941,40.2167,15.5417
2024/8/3 22:00,854,2.3317,5.1027,38.7497,17.6724
2024/8/3 23:00,854,2.3714,4.4779,29.1300,14.3640
2024/8/18 0:00,854,2.1479,5.0749,44.4306,13.2817
2024/8/18 1:00,854,2.8929,7.1326,45.2241,18.8125
2024/8/18 2:00,854,1.7188,5.9972,42.1211,15.4504
2024/8/18 3:00,854,1.7922,3.0655,32.2022,16.7026
2024/8/18 4:00,854,1.5320,5.1327,34.8532,13.5908
2024/8/18 5:00,854,1.9312,5.2823,29.8439,13.8685
2024/8/18 6:00,854,1.4739,4.1981,29.0126,14.6569
2024/8/18 7:00,854,2.4769,5.1285,39.7095,15.5430
2024/8/18 8:00,854,2.2114,5.1973,23.3620,22.1162
2024/8/18 9:00,854,3.2320,6.7315,44.4267,18.1886
2024/8/18 10:00,854,2.8393,6.1841,42.0356,18.9608
2024/8/18 11:00,854,1.1085,3.6452,30.7371,14.3908
2024/8/18 12:00,854,2.6237,7.5650,61.9546,20.5195
2024/8/18 13:00,854,4.0405,6.3180,60.7324,24.2636
2024/8/18 14:00,854,3.0728,8.5780,62.9019,21.9167
2024/8/18 15:00,854,2.8226,6.7722,55.8528,17.9872
2024/8/18 16:00,854,1.5186,4.0503,31.3009,14.1025
2024/8/18 17:00,854,1.4198,3.8849,24.0115,14.3724
2024/8/18 18:00,854,1.4957,3.7698,22.9907,12.7473
2024/8/18 19:00,854,1.2874,3.0751,21.9810,12.7565
2024/8/18 20:00,854,1.3950,3.3689,23.3831,13.9474
2024/8/18 21:00,854,1.9827,5.2724,42.3087,16.7193
2024/8/18 22:00,854,2.9551,6.4058,44.2201,19.1472
2024/8/18 23:00,854,2.5211,5.5439,35.8866,17.6096
2024/8/3 0:00,886,0.4564,0.6288,10.1004,8.9184
2024/8/3 1:00,886,1.2079,2.4236,18.5709,11.5168
2024/8/3 2:00,886,1.3028,2.5189,17.4063,13.8749
2024/8/3 3:00,886,1.0616,1.9371,17.2392,11.4836
2024/8/3 4:00,886,0.8665,1.2440,17.3118,10.1051
2024/8/3 5:00,886,1.0831,1.6674,18.6361,9.8731
2024/8/3 6:00,886,1.1665,2.4373,19.2646,11.0407
2024/8/3 7:00,886,1.0402,1.3869,20.2726,13.6980
2024/8/3 8:00,886,0.8981,3.2659,20.3375,10.9332
2024/8/3 9:00,886,0.7542,1.9480,12.5845,9.2175
2024/8/3 10:00,886,1.1066,2.5265,10.3049,12.5315
2024/8/3 11:00,886,0.3385,0.9572,11.5720,9.0238
2024/8/3 12:00,886,0.6616,2.0172,9.8511,10.9550
2024/8/3 13:00,886,1.2493,1.3715,18.7975,9.6842
2024/8/3 14:00,886,0.4666,1.1744,13.4350,11.6412
2024/8/3 15:00,886,0.3142,1.3959,10.5566,9.0961
2024/8/3 16:00,886,0.1707,1.2254,9.7200,8.2862
2024/8/3 17:00,886,0.3260,0.6435,10.7260,8.6861
2024/8/3 18:00,886,0.2423,0.6785,7.1057,8.3020
2024/8/3 19:00,886,0.2812,0.2577,7.1595,8.1323
2024/8/3 20:00,886,0.1159,0.6062,6.0042,8.3361
2024/8/3 21:00,886,0.4573,1.2358,9.4946,9.1988
2024/8/3 22:00,886,0.7593,1.7851,13.5347,10.7224
2024/8/3 23:00,886,1.0522,2.5432,15.7306,11.7875
2024/8/18 0:00,886,0.8342,1.3646,13.5406,8.9342
2024/8/18 1:00,886,1.4834,3.9496,28.2755,13.3795
2024/8/18 2:00,886,1.6046,3.9010,27.7091,15.8308
2024/8/18 3:00,886,1.0751,3.3965,24.8951,13.1689
2024/8/18 4:00,886,0.5166,3.1781,25.1720,11.2870
2024/8/18 5:00,886,1.8753,3.0766,19.1650,12.8913
2024/8/18 6:00,886,1.0287,3.0428,21.9943,11.8079
2024/8/18 7:00,886,0.9148,3.3730,29.0078,15.0374
2024/8/18 8:00,886,1.6735,4.5983,20.0252,16.0242
2024/8/18 9:00,886,1.8749,3.8227,20.4793,11.0572
2024/8/18 10:00,886,1.4132,3.8894,19.6728,16.5186
2024/8/18 11:00,886,0.3254,0.8844,11.8936,10.2013
2024/8/18 12:00,886,1.3016,3.1539,20.0765,12.6838
2024/8/18 13:00,886,1.8581,2.5072,29.9746,14.1576
2024/8/18 14:00,886,1.1474,3.3111,22.2577,14.4420
2024/8/18 15:00,886,0.7820,2.2666,19.9403,12.5544
2024/8/18 16:00,886,0.5384,1.7145,13.9007,9.7316
2024/8/18 17:00,886,0.4844,1.2159,11.9425,10.5260
2024/8/18 18:00,886,0.4995,1.2429,8.2650,8.8946
2024/8/18 19:00,886,0.4015,0.7639,10.1363,9.2403
2024/8/18 20:00,886,0.3343,1.1701,7.4444,9.8187
2024/8/18 21:00,886,0.5650,1.8441,14.6466,10.1489
2024/8/18 22:00,886,1.2675,3.4067,18.0571,11.4791
2024/8/18 23:00,886,1.1227,3.0724,17.4804,12.4391
2024/8/3 0:00,888,0.0000,0.4450,0.0000,4.7009
2024/8/3 1:00,888,0.2848,0.3293,1.8928,8.0206
2024/8/3 2:00,888,0.0000,0.9541,2.5425,4.9645
2024/8/3 3:00,888,0.3257,0.6320,0.0000,6.5170
2024/8/3 4:00,888,0.3320,0.0000,2.8804,6.1141
2024/8/3 5:00,888,1.0906,0.0000,5.7345,7.4105
2024/8/3 6:00,888,0.5334,0.3645,0.0000,5.4044
2024/8/3 7:00,888,0.0000,1.0672,4.0075,5.5643
2024/8/3 8:00,888,0.0000,0.8780,6.5789,4.7316
2024/8/3 9:00,888,0.1505,0.6325,0.0000,4.5529
2024/8/3 10:00,888,0.1619,0.1452,1.1289,8.0944
2024/8/3 11:00,888,0.0715,0.2259,2.9276,7.9399
2024/8/3 12:00,888,0.0586,0.0000,0.2658,6.6017
2024/8/3 13:00,888,0.0000,0.0000,3.8778,5.2467
2024/8/3 14:00,888,0.0824,0.0000,1.8555,7.7372
2024/8/3 15:00,888,0.0000,0.0000,0.6465,7.6340
2024/8/3 16:00,888,0.0131,0.1739,5.6945,7.7759
2024/8/3 17:00,888,0.0000,0.0672,2.0391,6.6626
2024/8/3 18:00,888,0.0485,0.4476,4.6357,7.0831
2024/8/3 19:00,888,0.0946,0.1901,4.0984,6.8729
2024/8/3 20:00,888,0.0000,0.1891,3.4205,7.2929
2024/8/3 21:00,888,0.1544,0.0000,3.3499,7.8951
2024/8/3 22:00,888,0.1353,0.6922,5.0478,7.8702
2024/8/3 23:00,888,0.3224,0.5040,4.4466,6.7601
2024/8/18 0:00,888,0.0000,0.3789,0.0000,6.0189
2024/8/18 1:00,888,0.4394,0.6906,7.6342,11.3546
2024/8/18 2:00,888,0.2005,0.1244,8.4845,7.4022
2024/8/18 3:00,888,0.2505,0.1815,0.0000,9.1426
2024/8/18 4:00,888,0.5209,0.0000,2.5489,7.6057
2024/8/18 5:00,888,0.5642,0.0000,8.7822,7.4352
2024/8/18 6:00,888,0.1984,0.7454,4.3671,7.3472
2024/8/18 7:00,888,0.1864,0.7314,7.4104,7.0405
2024/8/18 8:00,888,0.1082,1.7508,8.3354,6.6856
2024/8/18 9:00,888,0.1573,0.4642,0.0000,5.3767
2024/8/18 10:00,888,0.0000,0.5718,0.0000,8.0004
2024/8/18 11:00,888,0.1177,0.2975,0.0000,7.6240
2024/8/18 12:00,888,0.1543,0.0718,0.0000,7.4193
2024/8/18 13:00,888,0.1921,0.0000,0.0000,5.1935
2024/8/18 14:00,888,0.2127,0.0000,0.0000,8.3991
2024/8/18 15:00,888,0.0000,0.0000,3.4505,8.0448
2024/8/18 16:00,888,0.0000,0.1136,3.2798,6.4802
2024/8/18 17:00,888,0.0000,0.0000,0.1408,5.7184
2024/8/18 18:00,888,0.0000,0.0000,3.1892,7.0370
2024/8/18 19:00,888,0.0878,0.0517,2.2567,7.2899
2024/8/18 20:00,888,0.0000,0.1941,1.8586,7.2669
2024/8/18 21:00,888,0.2015,0.4031,2.6644,7.3448
2024/8/18 22:00,888,0.3593,0.4558,6.7183,8.6361
2024/8/18 23:00,888,0.5329,0.6137,11.8649,8.4044
2024/8/3 0:00,889,0.0000,0.4052,0.0000,5.9954
2024/8/3 1:00,889,0.3470,0.6213,1.5558,8.7241
2024/8/3 2:00,889,0.1988,0.3182,6.0279,8.3567
2024/8/3 3:00,889,0.0157,1.1010,0.0000,7.8680
2024/8/3 4:00,889,0.0000,0.0000,1.1786,7.3082
2024/8/3 5:00,889,0.6585,0.3154,5.4720,8.0962
2024/8/3 6:00,889,0.3325,0.6115,5.1637,7.7329
2024/8/3 7:00,889,0.0000,1.4899,7.7413,8.5929
2024/8/3 8:00,889,0.0000,0.7740,4.1816,7.1356
2024/8/3 9:00,889,0.0648,0.4917,0.0396,6.8568
2024/8/3 10:00,889,0.0000,0.3397,1.4713,9.4794
2024/8/3 11:00,889,0.1373,0.1328,3.6468,7.8875
2024/8/3 12:00,889,0.0396,0.0000,1.8171,6.6494
2024/8/3 13:00,889,0.2037,0.4848,7.6998,6.7432
2024/8/3 14:00,889,0.1130,0.2317,4.1187,8.9993
2024/8/3 15:00,889,0.1789,0.0000,3.9140,8.6627
2024/8/3 16:00,889,0.0000,0.0000,2.8674,7.3740
2024/8/3 17:00,889,0.0000,0.0000,1.8942,6.5539
2024/8/3 18:00,889,0.0000,0.0000,2.3225,7.4672
2024/8/3 19:00,889,0.0251,0.0634,3.5055,7.3781
2024/8/3 20:00,889,0.0000,0.2084,4.0000,7.3587
2024/8/3 21:00,889,0.1970,0.2090,2.8955,7.6500
2024/8/3 22:00,889,0.2374,0.2041,5.5791,7.9200
2024/8/3 23:00,889,0.4412,0.6361,8.4336,8.8393
2024/8/18 0:00,889,0.0000,0.4035,0.0000,5.3788
2024/8/18 1:00,889,0.5916,0.9092,1.7112,9.9852
2024/8/18 2:00,889,0.3079,0.7564,8.4940,7.6974
2024/8/18 3:00,889,0.2266,1.2851,0.0000,8.0373
2024/8/18 4:00,889,0.0000,0.0000,1.9770,6.8175
2024/8/18 5:00,889,1.2855,0.3431,9.9431,7.5455
2024/8/18 6:00,889,0.3988,0.5127,5.3860,7.0202
2024/8/18 7:00,889,0.0000,1.6273,10.1587,8.5821
2024/8/18 8:00,889,0.0000,1.2991,5.8425,6.6044
2024/8/18 9:00,889,0.1368,0.5602,0.0000,5.0719
2024/8/18 10:00,889,0.0000,0.2996,0.0000,10.5223
2024/8/18 11:00,889,0.0524,0.1277,2.0894,8.0926
